Single_ent,yo_results,yo_exact_match,yo_highest_fuzzy_match,yo_correct,yo_shuffled_results,yo_shuffled_exact_match,yo_shuffled_highest_fuzzy_match,yo_shuffled_correct,tn_results,tn_exact_match,tn_highest_fuzzy_match,tn_correct,tn_shuffled_results,tn_shuffled_exact_match,tn_shuffled_highest_fuzzy_match,tn_shuffled_correct,ty_results,ty_exact_match,ty_highest_fuzzy_match,ty_correct,ty_shuffled_results,ty_shuffled_exact_match,ty_shuffled_highest_fuzzy_match,ty_shuffled_correct,mai_results,mai_exact_match,mai_highest_fuzzy_match,mai_correct,mai_shuffled_results,mai_shuffled_exact_match,mai_shuffled_highest_fuzzy_match,mai_shuffled_correct,mg_results,mg_exact_match,mg_highest_fuzzy_match,mg_correct,mg_shuffled_results,mg_shuffled_exact_match,mg_shuffled_highest_fuzzy_match,mg_shuffled_correct,st_shuffled_results,st_shuffled_exact_match,st_shuffled_highest_fuzzy_match,st_shuffled_correct,yo_shuffled_results,yo_shuffled_exact_match,yo_shuffled_highest_fuzzy_match,yo_shuffled_correct,tn_shuffled_results,tn_shuffled_exact_match,tn_shuffled_highest_fuzzy_match,tn_shuffled_correct,ty_shuffled_results,ty_shuffled_exact_match,ty_shuffled_highest_fuzzy_match,ty_shuffled_correct,mai_shuffled_results,mai_shuffled_exact_match,mai_shuffled_highest_fuzzy_match,mai_shuffled_correct,mg_shuffled_results,mg_shuffled_exact_match,mg_shuffled_highest_fuzzy_match,mg_shuffled_correct,en_results,en_exact_match,en_highest_fuzzy_match,en_correct,en_shuffled_results,en_shuffled_exact_match,en_shuffled_highest_fuzzy_match,en_shuffled_correct,tr_results,tr_exact_match,tr_highest_fuzzy_match,tr_correct,tr_shuffled_results,tr_shuffled_exact_match,tr_shuffled_highest_fuzzy_match,tr_shuffled_correct,vi_results,vi_exact_match,vi_highest_fuzzy_match,vi_correct,vi_shuffled_results,vi_shuffled_exact_match,vi_shuffled_highest_fuzzy_match,vi_shuffled_correct,es_results,es_exact_match,es_highest_fuzzy_match,es_correct,es_shuffled_results,es_shuffled_exact_match,es_shuffled_highest_fuzzy_match,es_shuffled_correct,en_shuffled_results,en_shuffled_exact_match,en_shuffled_highest_fuzzy_match,en_shuffled_correct,tr_shuffled_results,tr_shuffled_exact_match,tr_shuffled_highest_fuzzy_match,tr_shuffled_correct,vi_shuffled_results,vi_shuffled_exact_match,vi_shuffled_highest_fuzzy_match,vi_shuffled_correct,es_shuffled_results,es_shuffled_exact_match,es_shuffled_highest_fuzzy_match,es_shuffled_correct
"['bayan', 'phelps', 'bayan phelps']",oliver,0,0.17,incorrect,jesus,0,0.36,incorrect,abel,0,0.4,incorrect,abraham,0,0.5,incorrect,shakespeare,0,0.35,incorrect,abraham lincoln,0,0.4,incorrect,shakespeare,0,0.35,incorrect,shakespeare,0,0.35,incorrect,herode,0,0.33,incorrect,herodiasa,0,0.4,incorrect,abraham,0,0.5,incorrect,jesus,0,0.36,incorrect,abraham,0,0.5,incorrect,abraham lincoln,0,0.4,incorrect,shakespeare,0,0.35,incorrect,herodiasa,0,0.4,incorrect,emily,0,0.36,incorrect,emily,0,0.36,incorrect,bayan,1,1.0,correct,pinokyo,0,0.17,incorrect,duc,0,0.0,incorrect,thuy kieu,0,0.29,incorrect,ozdemir,0,0.15,incorrect,ali,0,0.27,incorrect,emily,0,0.36,incorrect,pinokyo,0,0.17,incorrect,thuy kieu,0,0.29,incorrect,ali,0,0.27,incorrect
['montag'],oliver twist,0,0.22,incorrect,abraham,0,0.15,incorrect,god,0,0.22,incorrect,god,0,0.22,incorrect,adam,0,0.2,incorrect,adam,0,0.2,incorrect,regina,0,0.33,incorrect,medusa,0,0.33,incorrect,abrahamy,0,0.14,incorrect,abrahamy,0,0.14,incorrect,abel,0,0.2,incorrect,abraham,0,0.15,incorrect,god,0,0.22,incorrect,adam,0,0.2,incorrect,medusa,0,0.33,incorrect,abrahamy,0,0.14,incorrect,jesus,0,0.0,incorrect,elisabeth,0,0.13,incorrect,agamemnon,0,0.4,incorrect,medusa,0,0.33,incorrect,duc,0,0.0,incorrect,duc,0,0.0,incorrect,agamemnon,0,0.4,incorrect,colun,0,0.36,incorrect,elisabeth,0,0.13,incorrect,medusa,0,0.33,incorrect,duc,0,0.0,incorrect,colun,0,0.36,incorrect
"['bayan', 'bowles—', 'bowles', 'bayan bowles']",socrates,0,0.43,incorrect,abraham lincoln,0,0.44,incorrect,jesus,0,0.36,incorrect,god,0,0.22,incorrect,confucius,0,0.27,incorrect,jesus,0,0.36,incorrect,stephen,0,0.17,incorrect,albert einstein,0,0.3,incorrect,job,0,0.25,incorrect,adam,0,0.44,incorrect,jesus,0,0.36,incorrect,abraham lincoln,0,0.44,incorrect,god,0,0.22,incorrect,jesus,0,0.36,incorrect,albert einstein,0,0.3,incorrect,adam,0,0.44,incorrect,heathcliff,0,0.18,incorrect,god,0,0.22,incorrect,pinokyo,0,0.21,incorrect,voltaire,0,0.43,incorrect,nguyen cong tru,0,0.3,incorrect,thanh,0,0.4,incorrect,mustafa kemal ataturk,0,0.24,incorrect,insan,0,0.4,incorrect,god,0,0.22,incorrect,voltaire,0,0.43,incorrect,thanh,0,0.4,incorrect,insan,0,0.4,incorrect
['montag'],jesus,0,0.0,incorrect,jesus,0,0.0,incorrect,ngeel,0,0.36,incorrect,god,0,0.22,incorrect,adam,0,0.2,incorrect,abraham,0,0.15,incorrect,god,0,0.22,incorrect,god,0,0.22,incorrect,job,0,0.22,incorrect,adam,0,0.2,incorrect,galileo,0,0.15,incorrect,jesus,0,0.0,incorrect,god,0,0.22,incorrect,abraham,0,0.15,incorrect,god,0,0.22,incorrect,adam,0,0.2,incorrect,willy,0,0.0,incorrect,god,0,0.22,incorrect,robinson crusoe,0,0.19,incorrect,zeus,0,0.0,incorrect,thuong de,0,0.4,incorrect,duc,0,0.0,incorrect,merhamet,0,0.29,incorrect,zeus,0,0.0,incorrect,god,0,0.22,incorrect,zeus,0,0.0,incorrect,duc,0,0.0,incorrect,zeus,0,0.0,incorrect
['montag'],salome,0,0.17,incorrect,salome,0,0.17,incorrect,jesus,0,0.0,incorrect,jesus,0,0.0,incorrect,herodotus,0,0.27,incorrect,samoa,0,0.55,incorrect,salome,0,0.17,incorrect,emily,0,0.18,incorrect,salome,0,0.17,incorrect,salome,0,0.17,incorrect,disney,0,0.17,incorrect,salome,0,0.17,incorrect,jesus,0,0.0,incorrect,samoa,0,0.55,incorrect,emily,0,0.18,incorrect,salome,0,0.17,incorrect,stevens,0,0.15,incorrect,jack,0,0.2,incorrect,medusa,0,0.33,incorrect,medusa,0,0.33,incorrect,ngoc,0,0.4,incorrect,nguyen,0,0.33,incorrect,medusa,0,0.33,incorrect,ataturk,0,0.31,incorrect,jack,0,0.2,incorrect,medusa,0,0.33,incorrect,nguyen,0,0.33,incorrect,ataturk,0,0.31,incorrect
['beatty'],oliver twist,0,0.33,incorrect,abraham lincoln,0,0.19,incorrect,god,0,0.0,incorrect,ke,0,0.25,incorrect,adam,0,0.2,incorrect,abraham,0,0.31,incorrect,god,0,0.0,incorrect,chandrama,0,0.13,incorrect,god,0,0.0,incorrect,bozaka,0,0.33,incorrect,sheba,0,0.36,incorrect,abraham lincoln,0,0.19,incorrect,ke,0,0.25,incorrect,abraham,0,0.31,incorrect,chandrama,0,0.13,incorrect,bozaka,0,0.33,incorrect,heathcliff,0,0.38,incorrect,emily,0,0.36,incorrect,heathcliff,0,0.38,incorrect,cicek,0,0.18,incorrect,duc,0,0.0,incorrect,duc,0,0.0,incorrect,ali,0,0.22,incorrect,peri,0,0.2,incorrect,emily,0,0.36,incorrect,cicek,0,0.18,incorrect,duc,0,0.0,incorrect,peri,0,0.2,incorrect
['montag'],oduduwa,0,0.31,incorrect,abraham lincoln,0,0.29,incorrect,god,0,0.22,incorrect,god,0,0.22,incorrect,adam,0,0.2,incorrect,adam,0,0.2,incorrect,edgar allan poe,0,0.1,incorrect,frankenstein,0,0.22,incorrect,abrahamy,0,0.14,incorrect,abrahamy,0,0.14,incorrect,shakespeare,0,0.12,incorrect,abraham lincoln,0,0.29,incorrect,god,0,0.22,incorrect,adam,0,0.2,incorrect,frankenstein,0,0.22,incorrect,abrahamy,0,0.14,incorrect,heathcliff,0,0.12,incorrect,emily,0,0.18,incorrect,hamlet,0,0.33,incorrect,orhan kemal,0,0.35,incorrect,nguyen cong hoan,0,0.27,incorrect,thoreau,0,0.31,incorrect,pinocchio,0,0.13,incorrect,shakespeare,0,0.12,incorrect,emily,0,0.18,incorrect,orhan kemal,0,0.35,incorrect,thoreau,0,0.31,incorrect,shakespeare,0,0.12,incorrect
['montag'],jesus,0,0.0,incorrect,jesus,0,0.0,incorrect,jesus,0,0.0,incorrect,god,0,0.22,incorrect,adam,0,0.2,incorrect,adam,0,0.2,incorrect,marx,0,0.4,incorrect,flaubert,0,0.14,incorrect,abrahamy,0,0.14,incorrect,adriana,0,0.31,incorrect,israel,0,0.17,incorrect,jesus,0,0.0,incorrect,god,0,0.22,incorrect,adam,0,0.2,incorrect,flaubert,0,0.14,incorrect,adriana,0,0.31,incorrect,walter,0,0.17,incorrect,lighter,0,0.15,incorrect,offred,0,0.17,incorrect,erzurum,0,0.15,incorrect,quasimodo,0,0.27,incorrect,duc,0,0.0,incorrect,ataturk,0,0.31,incorrect,ataturk,0,0.31,incorrect,lighter,0,0.15,incorrect,erzurum,0,0.15,incorrect,duc,0,0.0,incorrect,ataturk,0,0.31,incorrect
['montag'],abraham,0,0.15,incorrect,abraham,0,0.15,incorrect,god,0,0.22,incorrect,god,0,0.22,incorrect,adam,0,0.2,incorrect,adam,0,0.2,incorrect,prometheus,0,0.25,incorrect,medusa,0,0.33,incorrect,adam,0,0.2,incorrect,abrahamy,0,0.14,incorrect,shakespeare,0,0.12,incorrect,abraham,0,0.15,incorrect,god,0,0.22,incorrect,adam,0,0.2,incorrect,medusa,0,0.33,incorrect,abrahamy,0,0.14,incorrect,beowulf,0,0.15,incorrect,beowulf,0,0.15,incorrect,quasimodo,0,0.27,incorrect,heraklit,0,0.14,incorrect,nguyen tat thanh,0,0.27,incorrect,dong trinh,0,0.38,incorrect,hamlet,0,0.33,incorrect,isa,0,0.22,incorrect,beowulf,0,0.15,incorrect,heraklit,0,0.14,incorrect,dong trinh,0,0.38,incorrect,isa,0,0.22,incorrect
['montag'],abrahami,0,0.14,incorrect,abrahamu adeyemo,0,0.18,incorrect,seleka,0,0.17,incorrect,god,0,0.22,incorrect,adam,0,0.2,incorrect,adam,0,0.2,incorrect,abhimanyu,0,0.27,incorrect,shakespeare,0,0.12,incorrect,abrahamy,0,0.14,incorrect,abrahamy,0,0.14,incorrect,jesus,0,0.0,incorrect,abrahamu adeyemo,0,0.18,incorrect,god,0,0.22,incorrect,adam,0,0.2,incorrect,shakespeare,0,0.12,incorrect,abrahamy,0,0.14,incorrect,orpheus,0,0.15,incorrect,orpheus,0,0.15,incorrect,orpheus,0,0.15,incorrect,olup,0,0.2,incorrect,jesus,0,0.0,incorrect,jesus,0,0.0,incorrect,osman,0,0.36,incorrect,isa,0,0.22,incorrect,orpheus,0,0.15,incorrect,olup,0,0.2,incorrect,jesus,0,0.0,incorrect,isa,0,0.22,incorrect
['montag'],oliver twist,0,0.22,incorrect,oliver twist,0,0.22,incorrect,god,0,0.22,incorrect,god,0,0.22,incorrect,adam,0,0.2,incorrect,adam,0,0.2,incorrect,charlie chaplin,0,0.1,incorrect,charles darwin,0,0.1,incorrect,abrahamy,0,0.14,incorrect,abrahamy,0,0.14,incorrect,jesus,0,0.0,incorrect,oliver twist,0,0.22,incorrect,god,0,0.22,incorrect,adam,0,0.2,incorrect,charles darwin,0,0.1,incorrect,abrahamy,0,0.14,incorrect,tom,0,0.22,incorrect,jack,0,0.2,incorrect,hamlet,0,0.33,incorrect,odysseus,0,0.14,incorrect,nguyen tat to,0,0.32,incorrect,duc,0,0.0,incorrect,hamlet,0,0.33,incorrect,ali,0,0.22,incorrect,jack,0,0.2,incorrect,odysseus,0,0.14,incorrect,duc,0,0.0,incorrect,ali,0,0.22,incorrect
['montag'],abraham adesanya,0,0.27,incorrect,abraham adesanya,0,0.27,incorrect,samson,0,0.5,incorrect,samson,0,0.5,incorrect,wedgwood,0,0.14,incorrect,marie antoinette,0,0.36,incorrect,oliver twist,0,0.22,incorrect,robert falcon scott,0,0.24,incorrect,abraham,0,0.15,incorrect,abrahamy,0,0.14,incorrect,paris,0,0.18,incorrect,abraham adesanya,0,0.27,incorrect,samson,0,0.5,incorrect,marie antoinette,0,0.36,incorrect,robert falcon scott,0,0.24,incorrect,abrahamy,0,0.14,incorrect,holden,0,0.33,incorrect,lincoln,0,0.31,incorrect,thelma ve louise,0,0.18,incorrect,kar,0,0.22,incorrect,duc,0,0.0,incorrect,nguyen,0,0.33,incorrect,ali,0,0.22,incorrect,mustafa kemal ataturk,0,0.22,incorrect,lincoln,0,0.31,incorrect,kar,0,0.22,incorrect,nguyen,0,0.33,incorrect,mustafa kemal ataturk,0,0.22,incorrect
['montag'],oduduwa,0,0.31,incorrect,ogun,0,0.4,incorrect,donald trump,0,0.33,incorrect,donald trump,0,0.33,incorrect,albert einstein,0,0.19,incorrect,albert,0,0.17,incorrect,hitler,0,0.17,incorrect,winston churchill,0,0.17,incorrect,archimedes,0,0.12,incorrect,alain'ny,0,0.14,incorrect,abraham lincoln,0,0.29,incorrect,ogun,0,0.4,incorrect,donald trump,0,0.33,incorrect,albert,0,0.17,incorrect,winston churchill,0,0.17,incorrect,alain'ny,0,0.14,incorrect,henry,0,0.18,incorrect,hitler,0,0.17,incorrect,adam,0,0.2,incorrect,celik,0,0.0,incorrect,da,0,0.25,incorrect,qua,0,0.22,incorrect,hitler,0,0.17,incorrect,aluminyum,0,0.27,incorrect,hitler,0,0.17,incorrect,celik,0,0.0,incorrect,qua,0,0.22,incorrect,aluminyum,0,0.27,incorrect
['montag'],abrahami,0,0.14,incorrect,jesus,0,0.0,incorrect,jesus,0,0.0,incorrect,barack obama,0,0.22,incorrect,adam,0,0.2,incorrect,abraham,0,0.15,incorrect,dracula,0,0.15,incorrect,steel,0,0.18,incorrect,abrahamy,0,0.14,incorrect,abrahamy,0,0.14,incorrect,matsoafo,0,0.43,incorrect,jesus,0,0.0,incorrect,barack obama,0,0.22,incorrect,abraham,0,0.15,incorrect,steel,0,0.18,incorrect,abrahamy,0,0.14,incorrect,heathcliff,0,0.12,incorrect,adam,0,0.2,incorrect,heathcliff,0,0.12,incorrect,demir,0,0.18,incorrect,nguyen tat thanh,0,0.27,incorrect,duc,0,0.0,incorrect,demir,0,0.18,incorrect,demir,0,0.18,incorrect,adam,0,0.2,incorrect,demir,0,0.18,incorrect,duc,0,0.0,incorrect,demir,0,0.18,incorrect
['montag'],abrahami lincoln,0,0.27,incorrect,abraham adesanya,0,0.27,incorrect,beetle,0,0.17,incorrect,herbie,0,0.0,incorrect,albert einstein,0,0.19,incorrect,newton,0,0.33,incorrect,jack reacher,0,0.11,incorrect,garand,0,0.17,incorrect,mercedes,0,0.14,incorrect,farafahakeliny,0,0.1,incorrect,herbie,0,0.0,incorrect,abraham adesanya,0,0.27,incorrect,herbie,0,0.0,incorrect,newton,0,0.33,incorrect,garand,0,0.17,incorrect,farafahakeliny,0,0.1,incorrect,walter,0,0.17,incorrect,christ,0,0.17,incorrect,jack,0,0.2,incorrect,michael schumacher,0,0.17,incorrect,dong,0,0.6,incorrect,newton,0,0.33,incorrect,bocek,0,0.18,incorrect,herbert,0,0.15,incorrect,christ,0,0.17,incorrect,michael schumacher,0,0.17,incorrect,newton,0,0.33,incorrect,herbert,0,0.15,incorrect
['montag'],olodumare,0,0.27,incorrect,oliver twist,0,0.22,incorrect,modimo,0,0.33,incorrect,google,0,0.33,incorrect,jehovah,0,0.31,incorrect,adam,0,0.2,incorrect,god,0,0.22,incorrect,god,0,0.22,incorrect,job,0,0.22,incorrect,andriamanitra,0,0.42,incorrect,jesus,0,0.0,incorrect,oliver twist,0,0.22,incorrect,google,0,0.33,incorrect,adam,0,0.2,incorrect,god,0,0.22,incorrect,andriamanitra,0,0.42,incorrect,benjy,0,0.18,incorrect,god,0,0.22,incorrect,ali,0,0.22,incorrect,isa,0,0.22,incorrect,nguyen cong tru,0,0.29,incorrect,nguyen,0,0.33,incorrect,ali,0,0.22,incorrect,zeus,0,0.0,incorrect,god,0,0.22,incorrect,isa,0,0.22,incorrect,nguyen,0,0.33,incorrect,zeus,0,0.0,incorrect
['montag'],abrahami,0,0.14,incorrect,abraham lincoln,0,0.29,incorrect,william shakespeare,0,0.16,incorrect,god,0,0.22,incorrect,adam,0,0.2,incorrect,abraham,0,0.15,incorrect,beetle,0,0.17,incorrect,beatle,0,0.17,incorrect,abrahamy,0,0.14,incorrect,lasainy,0,0.15,incorrect,hang,0,0.4,incorrect,abraham lincoln,0,0.29,incorrect,god,0,0.22,incorrect,abraham,0,0.15,incorrect,beatle,0,0.17,incorrect,lasainy,0,0.15,incorrect,butch,0,0.18,incorrect,thoreau,0,0.31,incorrect,pinokyo,0,0.15,incorrect,pinokyo,0,0.15,incorrect,duc,0,0.0,incorrect,nguyen,0,0.33,incorrect,ali,0,0.22,incorrect,ali,0,0.22,incorrect,thoreau,0,0.31,incorrect,pinokyo,0,0.15,incorrect,nguyen,0,0.33,incorrect,ali,0,0.22,incorrect
['montag'],abrahami,0,0.14,incorrect,jesus,0,0.0,incorrect,seleka,0,0.17,incorrect,israel,0,0.17,incorrect,adam,0,0.2,incorrect,adam,0,0.2,incorrect,god,0,0.22,incorrect,adam,0,0.2,incorrect,abrahamy,0,0.14,incorrect,adao,0,0.2,incorrect,israel,0,0.17,incorrect,jesus,0,0.0,incorrect,israel,0,0.17,incorrect,adam,0,0.2,incorrect,adam,0,0.2,incorrect,adao,0,0.2,incorrect,bayard,0,0.17,incorrect,adam,0,0.2,incorrect,hitler,0,0.17,incorrect,beni,0,0.2,incorrect,dang,0,0.4,incorrect,dang,0,0.4,incorrect,ben,0,0.22,incorrect,dogrul,0,0.33,incorrect,adam,0,0.2,incorrect,beni,0,0.2,incorrect,dang,0,0.4,incorrect,dogrul,0,0.33,incorrect
['montag'],abrahami,0,0.14,incorrect,abraham,0,0.15,incorrect,abel,0,0.2,incorrect,god,0,0.22,incorrect,adam,0,0.2,incorrect,abraham,0,0.15,incorrect,emily,0,0.18,incorrect,charles darwin,0,0.1,incorrect,abrahamy,0,0.14,incorrect,abrahamy,0,0.14,incorrect,paris,0,0.18,incorrect,abraham,0,0.15,incorrect,god,0,0.22,incorrect,abraham,0,0.15,incorrect,charles darwin,0,0.1,incorrect,abrahamy,0,0.14,incorrect,oliver twist,0,0.22,incorrect,christ,0,0.17,incorrect,hamlet,0,0.33,incorrect,orpheus,0,0.15,incorrect,duc,0,0.0,incorrect,phuong,0,0.5,incorrect,ali,0,0.22,incorrect,pinokyo,0,0.15,incorrect,christ,0,0.17,incorrect,orpheus,0,0.15,incorrect,phuong,0,0.5,incorrect,pinokyo,0,0.15,incorrect
['montag'],oliver twist,0,0.22,incorrect,jesus,0,0.0,incorrect,abel,0,0.2,incorrect,jesus,0,0.0,incorrect,adam,0,0.2,incorrect,abraham,0,0.15,incorrect,heathcliff,0,0.12,incorrect,tv,0,0.25,incorrect,adam,0,0.2,incorrect,adam,0,0.2,incorrect,jesus,0,0.0,incorrect,jesus,0,0.0,incorrect,jesus,0,0.0,incorrect,abraham,0,0.15,incorrect,tv,0,0.25,incorrect,adam,0,0.2,incorrect,spade,0,0.18,incorrect,heathcliff,0,0.12,incorrect,madame bovary,0,0.32,incorrect,odysseus,0,0.14,incorrect,nguyen tuan,0,0.35,incorrect,ngoc,0,0.4,incorrect,odysseus,0,0.14,incorrect,melek,0,0.18,incorrect,heathcliff,0,0.12,incorrect,odysseus,0,0.14,incorrect,ngoc,0,0.4,incorrect,melek,0,0.18,incorrect
['montag'],abrahami adesanya,0,0.26,incorrect,abraham,0,0.15,incorrect,themba,0,0.33,incorrect,jesus,0,0.0,incorrect,adam,0,0.2,incorrect,abraham,0,0.15,incorrect,charlie,0,0.15,incorrect,adam,0,0.2,incorrect,abrahamy,0,0.14,incorrect,adam,0,0.2,incorrect,abel,0,0.2,incorrect,abraham,0,0.15,incorrect,jesus,0,0.0,incorrect,abraham,0,0.15,incorrect,adam,0,0.2,incorrect,adam,0,0.2,incorrect,walter,0,0.17,incorrect,god,0,0.22,incorrect,bay ihtiyar,0,0.24,incorrect,odysseus,0,0.14,incorrect,thoreau,0,0.31,incorrect,duc,0,0.0,incorrect,adam,0,0.2,incorrect,ataturk,0,0.31,incorrect,god,0,0.22,incorrect,odysseus,0,0.14,incorrect,duc,0,0.0,incorrect,ataturk,0,0.31,incorrect
['montag'],oliver twist,0,0.22,incorrect,jesus,0,0.0,incorrect,abel,0,0.2,incorrect,god,0,0.22,incorrect,adam,0,0.2,incorrect,adam,0,0.2,incorrect,chess,0,0.0,incorrect,monroe,0,0.5,incorrect,abrahamy,0,0.14,incorrect,abrahamy,0,0.14,incorrect,madonna,0,0.62,incorrect,jesus,0,0.0,incorrect,god,0,0.22,incorrect,adam,0,0.2,incorrect,monroe,0,0.5,incorrect,abrahamy,0,0.14,incorrect,he,0,0.0,incorrect,hamlet,0,0.33,incorrect,ali,0,0.22,incorrect,ali,0,0.22,incorrect,hamlet,0,0.33,incorrect,shakespeare,0,0.12,incorrect,ali,0,0.22,incorrect,ali,0,0.22,incorrect,hamlet,0,0.33,incorrect,ali,0,0.22,incorrect,shakespeare,0,0.12,incorrect,ali,0,0.22,incorrect
['montag'],jesus,0,0.0,incorrect,jesus,0,0.0,incorrect,god,0,0.22,incorrect,abel,0,0.2,incorrect,edison,0,0.33,incorrect,albert,0,0.17,incorrect,noah,0,0.4,incorrect,pinocchio,0,0.13,incorrect,albert einstein,0,0.19,incorrect,adam,0,0.2,incorrect,abel,0,0.2,incorrect,jesus,0,0.0,incorrect,abel,0,0.2,incorrect,albert,0,0.17,incorrect,pinocchio,0,0.13,incorrect,adam,0,0.2,incorrect,job,0,0.22,incorrect,nostradamus,0,0.35,incorrect,noah,0,0.4,incorrect,newton,0,0.33,incorrect,duc,0,0.0,incorrect,dong,0,0.6,incorrect,isa,0,0.22,incorrect,helios,0,0.17,incorrect,nostradamus,0,0.35,incorrect,newton,0,0.33,incorrect,dong,0,0.6,incorrect,helios,0,0.17,incorrect
"['tiến', 'montag tiến', 'montag']",abrahami,0,0.21,incorrect,jesus,0,0.22,incorrect,themba,0,0.4,incorrect,abraham,0,0.15,incorrect,abraham,0,0.15,incorrect,adam,0,0.2,incorrect,steel,0,0.44,incorrect,albert einstein,0,0.42,incorrect,adam,0,0.2,incorrect,abrahamy,0,0.14,incorrect,abel,0,0.27,incorrect,jesus,0,0.22,incorrect,abraham,0,0.15,incorrect,adam,0,0.2,incorrect,albert einstein,0,0.42,incorrect,abrahamy,0,0.14,incorrect,jesus,0,0.22,incorrect,beckett,0,0.22,incorrect,isa,0,0.29,incorrect,orpheus,0,0.22,incorrect,heidegger,0,0.31,incorrect,thep,0,0.5,incorrect,odysseus,0,0.21,incorrect,orpheus,0,0.22,incorrect,beckett,0,0.22,incorrect,orpheus,0,0.22,incorrect,thep,0,0.5,incorrect,orpheus,0,0.22,incorrect
['montag'],oduduwa,0,0.31,incorrect,abraham,0,0.15,incorrect,barack obama,0,0.22,incorrect,levi,0,0.0,incorrect,adam,0,0.2,incorrect,adam,0,0.2,incorrect,albert einstein,0,0.19,incorrect,jackie,0,0.17,incorrect,abrahamy,0,0.14,incorrect,adao,0,0.2,incorrect,israel,0,0.17,incorrect,abraham,0,0.15,incorrect,levi,0,0.0,incorrect,adam,0,0.2,incorrect,jackie,0,0.17,incorrect,adao,0,0.2,incorrect,jesus,0,0.0,incorrect,levi,0,0.0,incorrect,bay,0,0.22,incorrect,adam,0,0.2,incorrect,nguyen tat to,0,0.32,incorrect,thach sanh,0,0.25,incorrect,ali,0,0.22,incorrect,ataturk,0,0.31,incorrect,levi,0,0.0,incorrect,adam,0,0.2,incorrect,thach sanh,0,0.25,incorrect,ataturk,0,0.31,incorrect
['montag'],jesus,0,0.0,incorrect,abraham,0,0.15,incorrect,mullo,0,0.36,incorrect,god,0,0.22,incorrect,jesus,0,0.0,incorrect,abraham,0,0.15,incorrect,tea,0,0.44,incorrect,heidi,0,0.0,incorrect,job,0,0.22,incorrect,washington,0,0.25,incorrect,shakespeare,0,0.12,incorrect,abraham,0,0.15,incorrect,god,0,0.22,incorrect,abraham,0,0.15,incorrect,heidi,0,0.0,incorrect,washington,0,0.25,incorrect,jesus,0,0.0,incorrect,tea,0,0.44,incorrect,harry,0,0.18,incorrect,tesekkur,0,0.14,incorrect,nguyen tuan,0,0.35,incorrect,duc,0,0.0,incorrect,mustafa kemal ataturk,0,0.22,incorrect,ataturk,0,0.31,incorrect,tea,0,0.44,incorrect,tesekkur,0,0.14,incorrect,duc,0,0.0,incorrect,ataturk,0,0.31,incorrect
['montag'],oliver,0,0.17,incorrect,abraham,0,0.15,incorrect,god,0,0.22,incorrect,god,0,0.22,incorrect,abraham,0,0.15,incorrect,abraham,0,0.15,incorrect,god,0,0.22,incorrect,fireman,0,0.31,incorrect,god,0,0.22,incorrect,adriana,0,0.31,incorrect,abraham,0,0.15,incorrect,abraham,0,0.15,incorrect,god,0,0.22,incorrect,abraham,0,0.15,incorrect,fireman,0,0.31,incorrect,adriana,0,0.31,incorrect,ham,0,0.22,incorrect,paul,0,0.2,incorrect,paul atreides,0,0.11,incorrect,shakespeare,0,0.12,incorrect,da-vit,0,0.17,incorrect,nguyen,0,0.33,incorrect,pinokyo,0,0.15,incorrect,kitap,0,0.36,incorrect,paul,0,0.2,incorrect,shakespeare,0,0.12,incorrect,nguyen,0,0.33,incorrect,kitap,0,0.36,incorrect
['montag'],abrahami,0,0.14,incorrect,abraham,0,0.15,incorrect,abel,0,0.2,incorrect,jesus,0,0.0,incorrect,adam,0,0.2,incorrect,abraham,0,0.15,incorrect,chicago,0,0.31,incorrect,paris,0,0.18,incorrect,adama,0,0.36,incorrect,abraham,0,0.15,incorrect,shakespeare,0,0.12,incorrect,abraham,0,0.15,incorrect,jesus,0,0.0,incorrect,abraham,0,0.15,incorrect,paris,0,0.18,incorrect,abraham,0,0.15,incorrect,godzilla,0,0.29,incorrect,jerusalem,0,0.13,incorrect,jack,0,0.2,incorrect,boeing,0,0.5,incorrect,winston,0,0.31,incorrect,newton,0,0.33,incorrect,ozdemir,0,0.15,incorrect,nil,0,0.22,incorrect,jerusalem,0,0.13,incorrect,boeing,0,0.5,incorrect,newton,0,0.33,incorrect,nil,0,0.22,incorrect
['granger'],god,0,0.2,incorrect,jesus,0,0.17,incorrect,albert einstein,0,0.27,incorrect,elon musk,0,0.12,incorrect,fararo,0,0.46,incorrect,adam,0,0.18,incorrect,god,0,0.2,incorrect,jesus,0,0.17,incorrect,job,0,0.0,incorrect,lehilahy,0,0.13,incorrect,beethoven,0,0.12,incorrect,jesus,0,0.17,incorrect,elon musk,0,0.12,incorrect,adam,0,0.18,incorrect,jesus,0,0.17,incorrect,lehilahy,0,0.13,incorrect,ray bradbury,0,0.32,incorrect,lincoln,0,0.14,incorrect,charlie,0,0.29,incorrect,charlie chaplin,0,0.27,incorrect,charlie,0,0.29,incorrect,nguyen tuan,0,0.33,incorrect,abraham lincoln,0,0.27,incorrect,haydar,0,0.31,incorrect,lincoln,0,0.14,incorrect,charlie chaplin,0,0.27,incorrect,nguyen tuan,0,0.33,incorrect,haydar,0,0.31,incorrect
